# Tag name          ;  color
FM                  ; #c0c0c0
PKP                 ; #c0c0c0
Policja             ; #c0c0c0
Untagged            ; #c0c0c0
70cm                ; #c0c0c0
C4FM                ; #c0c0c0
DMR                 ; #c0c0c0
Air Civ             ; #c0c0c0
Pogotowie           ; #c0c0c0
SP                  ; #c0c0c0
Air Mil             ; #c0c0c0
2m                  ; #c0c0c0
CB                  ; #ff0000
AmateurRadio        ; #00ff00
Untagged            ; #c0c0c0
FamilyRadio         ; #0000ff
MURS                ; #ffff00
AMRadio             ; #ff00ff
PublicService       ; #000000


# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
   118300000; EPWA TWR                 ; AM                  ;      10000; Air Civ
   118775000; FIS Warszawa             ; AM                  ;      10000; Air Civ
   119175000; EPBC Info                ; AM                  ;      10000; Air Civ
   119450000; FIS Warszawa             ; AM                  ;      10000; Air Civ
   120325000; EPMO AFIS                ; AM                  ;      10000; Air Civ
   120450000; EPWA ATIS                ; AM                  ;      10000; Air Civ
   120455000; EPWA ATIS ARR            ; AM                  ;      10000; Air Civ
   120775000; EPMM APP                 ; AM                  ;      10000; Air Mil
   121500000; EPWA TWR EMG             ; AM                  ;      10000; Air Civ
   121600000; EPWA TWR DELIVERY        ; AM                  ;      10000; Air Civ
   121900000; EPWA GRND                ; AM                  ;      10000; Air Civ
   122300000; EPBC Radio               ; AM                  ;      10000; Air Civ
   123430000; EPWA ATIS DEP            ; AM                  ;      10000; Air Civ
   123925000; EPMO TOWER               ; AM                  ;      10000; Air Civ
   125050000; EPWA APP                 ; AM                  ;      10000; Air Civ
   125550000; EPGO                     ; AM                  ;      10000; Air Civ
   127600000; EPWA VOLMET              ; AM                  ;      10000; Air Civ
   128500000; EPMM AFIS                ; AM                  ;      10000; Air Mil
   128575000; FIS Warszawa             ; AM                  ;      10000; Air Civ
   128800000; EPWA APP                 ; AM                  ;      10000; Air Civ
   129375000; EPWA APP DIRECTOR        ; AM                  ;      10000; Air Civ
   129375000; EPMO APP DIRECTOR        ; AM                  ;      10000; Air Civ
   135425000; EPMM TWR                 ; AM                  ;      10000; Air Mil
   136250000; EPMM APP                 ; AM                  ;      10000; Air Mil
   138250000; EPMM ATIS                ; AM                  ;      10000; Air Mil
   144500000; SSTV                     ; Narrow FM           ;      10000; 2m
   144800000; APRS                     ; Narrow FM           ;      10000; 2m
   145150000; SR5W Rx                  ; Narrow FM           ;      10000; 2m
   145450000; Loc 450                  ; Narrow FM           ;      10000; 2m
   145500000; 145.500                  ; Narrow FM           ;      10000; 2m
   145750000; SR5W Tx                  ; Narrow FM           ;      10000; 2m
   145800000; ISS                      ; Narrow FM           ;      10000; Untagged
   148662500; B01                      ; Narrow FM           ;      10000; SP
   148675000; B02                      ; Narrow FM           ;      10000; SP
   148687500; B03 KDW1                 ; Narrow FM           ;      10000; SP
   148700000; B04 KRG1                 ; Narrow FM           ;      10000; SP
   148712500; B05                      ; Narrow FM           ;      10000; SP
   148725000; B06 Syreny OSP (Tx)      ; Narrow FM           ;      10000; SP
   148737500; B07                      ; Narrow FM           ;      10000; SP
   148750000; B08                      ; Narrow FM           ;      10000; SP
   148762500; B09 Płońsk               ; Narrow FM           ;      10000; SP
   148775000; B10 Otwock               ; Narrow FM           ;      10000; SP
   148787500; B11                      ; Narrow FM           ;      10000; SP
   148800000; B12                      ; Narrow FM           ;      10000; SP
   148812500; B13                      ; Narrow FM           ;      10000; SP
   148825000; B14 Syreny OSP (Rx)      ; Narrow FM           ;      10000; SP
   148837500; B15                      ; Narrow FM           ;      10000; SP
   148850000; B16                      ; Narrow FM           ;      10000; SP
   148862500; B17                      ; Narrow FM           ;      10000; SP
   148875000; B18 KO1                  ; Narrow FM           ;      10000; SP
   148887500; B19                      ; Narrow FM           ;      10000; SP
   148900000; B20 W-Wa Zach            ; Narrow FM           ;      10000; SP
   148912500; B21                      ; Narrow FM           ;      10000; SP
   148925000; B22 Miedzyrzec Podlaski  ; Narrow FM           ;      10000; SP
   148937500; B23                      ; Narrow FM           ;      10000; SP
   148950000; B24 Lubelskie            ; Narrow FM           ;      10000; SP
   148962500; B25 W-Wa                 ; Narrow FM           ;      10000; SP
   148975000; B26 Garwolin             ; Narrow FM           ;      10000; SP
   148987500; B27                      ; Narrow FM           ;      10000; SP
   149000000; B28 KSW                  ; Narrow FM           ;      10000; SP
   149012500; B29                      ; Narrow FM           ;      10000; SP
   149025000; B30 KG PSP               ; Narrow FM           ;      10000; SP
   149037500; B31                      ; Narrow FM           ;      10000; SP
   149050000; B32 Radzyń Podlaski      ; Narrow FM           ;      10000; SP
   149062500; B33                      ; Narrow FM           ;      10000; SP
   149075000; B34                      ; Narrow FM           ;      10000; SP
   149087500; B35 KRG2                 ; Narrow FM           ;      10000; SP
   149100000; B36 Janów Lubelski       ; Narrow FM           ;      10000; SP
   149112500; B37                      ; Narrow FM           ;      10000; SP
   149125000; B38                      ; Narrow FM           ;      10000; SP
   149137500; B39 KRG3                 ; Narrow FM           ;      10000; SP
   149150000; B40 Mazowieckie          ; Narrow FM           ;      10000; SP
   149162500; B41 KRG4                 ; Narrow FM           ;      10000; SP
   149175000; B42 Mińsk Mazowiecki     ; Narrow FM           ;      10000; SP
   149187500; B43                      ; Narrow FM           ;      10000; SP
   149200000; B44 Biała Podlaska       ; Narrow FM           ;      10000; SP
   149212500; B45 SGSP                 ; Narrow FM           ;      10000; SP
   149225000; B46 KRG5                 ; Narrow FM           ;      10000; SP
   149237500; B47 KRG6                 ; Narrow FM           ;      10000; SP
   149250000; B48 KDW2                 ; Narrow FM           ;      10000; SP
   149262500; B49 KRG7                 ; Narrow FM           ;      10000; SP
   149275000; B50 KRG8                 ; Narrow FM           ;      10000; SP
   149287500; B51 Siedlce              ; Narrow FM           ;      10000; SP
   149300000; B52                      ; Narrow FM           ;      10000; SP
   149312500; B53 KO2                  ; Narrow FM           ;      10000; SP
   149325000; B54                      ; Narrow FM           ;      10000; SP
   149337500; B55                      ; Narrow FM           ;      10000; SP
   149900000; U02 KSWL-HEMS            ; Narrow FM           ;      10000; SP
   150100000; PKP 1 szlakowy           ; Narrow FM           ;      10000; PKP
   150150000; PKP 2 szlakowy           ; Narrow FM           ;      10000; PKP
   150175000; PKP 11 elektroe          ; Narrow FM           ;      10000; PKP
   150200000; PKP 9 Drogowy            ; Narrow FM           ;      10000; PKP
   150225000; PKP 3 szlakowy           ; Narrow FM           ;      10000; PKP
   150250000; PKP 12 elektroe          ; Narrow FM           ;      10000; PKP
   150325000; PKP 4 szlakowy           ; Narrow FM           ;      10000; PKP
   150350000; PKP 10 Testy radiostop   ; Narrow FM           ;      10000; PKP
   150375000; PKP 5 szlakowy           ; Narrow FM           ;      10000; PKP
   150450000; PKP 6 szlakowy           ; Narrow FM           ;      10000; PKP
   150475000; PKP 13 elektroe          ; Narrow FM           ;      10000; PKP
   150500000; PKP 8 Ratunkowy          ; Narrow FM           ;      10000; PKP
   150575000; PKP 7 szlakowy           ; Narrow FM           ;      10000; PKP
   150700000; PKP 14 elektroe          ; Narrow FM           ;      10000; PKP
   154550000; PKP SOK                  ; Narrow FM           ;      10000; PKP
   168525000;                          ; Narrow FM           ;      10000; Pogotowie
   168537500;                          ; Narrow FM           ;      10000; Pogotowie
   168550000;                          ; Narrow FM           ;      10000; Pogotowie
